Ean,Myyntihinta,Kuntoluokitus,Nimi,Alkuperäinen nimi,Vuosi,Ohjaaja,Näyttelijöitä,Formaatti,Levyjä,Julkaisualue,Julkaisu,Tekstitys,Puhuttu kieli,Muuta,Vuokrajulkaisu,Slipcover,Kaksipuolinen levy,Skannattu,Kotelo,Toimitusluokka
7321944374648,5,10,Amadeus - ohjaajan versio,Amadeus Director's Cut,1984,Miloš Forman,,DVD,2,Suomi,Warner,suomi; ruotsi; jne,,"Kahden levyn erikoisjulkaisu, kohtausluettelovihkonen mukana",,,,,,A
6420201162989,2,8,Armoton maa,Open Range,2003,Kevin Costner,"Robert Duvall, Kevin Costner, Annette Bening, Michael Gambon, Abraham Benrubi ja Diego Luna.",DVD,1,Suomi,Nordisk Film,suomi; ruotsi; jne,,kannen muovipinnassa jokunen painauma / rokama,,,,,,A
8717418461003,2.5,10,Avengers - Age of Ultron,,2015,Joss Whedon,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Jeremy Renner, Don Cheadle, Aaron Taylor-Johnson, Elizabeth Olsen, Paul Bettany, Cobie Smulders, Anthony Mackie, Hayley Atwell, Idris Elba, Stellan Skarsgård, James Spader, and Samuel L. Jackson",DVD,1,Pohjoismaat,Marvel,suomi; ruotsi; jne,,,,,,,,A
5706141784087,3,9,Black Eagle - Musta kotka,Black Eagle,1988,Eric Karson,"Shō Kosugi, Jean-Claude Van Damme, Doran Clark ja Bruce French",DVD,1,Pohjoismaat,Scanbox,suomi; ruotsi; jne,,,,,,,,A
6415015507064,5,5,Cluedo,Clue,1985,Jonathan Lynn,"Eileen Brennan, Tim Curry, Madeline Kahn, Christopher Lloyd, Michael McKean, Martin Mull, and Lesley Ann Warren",DVD,1,Suomi,Paramount,suomi; ruotsi; jne,,,,,,TRUE,,A
7393834210701,3,9,Cocktail,,1988,Roger Donaldson,"Tom Cruise, Bryan Brown, and Elisabeth Shue",DVD,1,Suomi,Touchstone,suomi; ruotsi; jne,,kohtauslappunen mukana,,,,,,A
5051895037461,2,9,Corpse Bride,Tim Burton's Corpse Bride,2005,"Mike Johnson, Tim Burton","Johnny Depp, Helena Bonham Carter, Emily Watson, Albert Finney, Joanna Lumley, Christopher Lee",DVD,1,Pohjoismaat,Warner,suomi; ruotsi; jne,,,,,,,,A
6416548354019,5,8,Dead or Alive,,1999,Takashi Miike,,DVD,1,Suomi,Futurefilm,suomi; ruotsi; jne,,,,,,,,A
7321944129859,2,8,Demolition Man,,1993,Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, and Nigel Hawthorne",DVD,1,Suomi,Warner,suomi; ruotsi; jne,,,,,,,,A
6416548840611,3,8,Eaten Alive,,1976,Tobe Hooper,"Carolyn Jones, Neville Brand, Roberta Collins, Robert Englund, William Finley, Marilyn Burns, Janus Blythe, Kyle Richards",DVD,1,Suomi,Futurefilm,suomi; ruotsi; jne,,,,,,,,A
7350007151346,5,10,Elämäni kesä,Biloxi Blues,1988,Mike Nichols,"Matthew Broderick, Christopher Walken",DVD,1,Pohjoismaat,,suomi; ruotsi; jne,,,,,,,,A
7393834128105,3.5,8,End of Days,,1999,Peter Hyams,"Arnold Schwarzenegger, Gabriel Byrne, Robin Tunney, Kevin Pollak, Rod Steiger, CCH Pounder, and Udo Kier",DVD,1,Suomi,Touchstone,suomi; ruotsi; jne,,,,,,,,A
8717418416430,3.5,9,Frozen - Huurteinen seikkailu,Frozen,2013,,,Blu-ray,1,Suomi,Disney,suomi; ruotsi; jne,suomi; englanti; ruotsi; jne,,,,,,,A
7321944227111,3.5,9,Gremlins 2 - Uusi pesue,Gremlins 2: The New Batch,1990,Joe Dante,"Zach Galligan, Phoebe Cates, Dick Miller, Jackie Joseph, Keye Luke, John Glover, Robert Prosky, Haviland Morris, Robert Picardo, Christopher Lee",DVD,1,Suomi,Warner,suomi; ruotsi; jne,,,,,,,,A
5051895042472,2.5,9,Häivähdys purppuraa,The Color Purple,1985,Steven Spielberg,"Whoopi Goldberg, Danny Glover, Oprah Winfrey, Margaret Avery, Rae Dawn Chong, Willard Pugh, Adolph Caesar",DVD,1,Pohjoismaat,Warner,suomi; ruotsi; jne,,,,,TRUE,,,A
6420201179079,6,8,Halloween – Unrated Director's Cut,,2007,Rob Zombie,"Malcolm McDowell, Scout Taylor-Compton, Tyler Mane, Sheri Moon Zombie",DVD,1,Suomi,Nordisk Film,suomi; ruotsi; jne,,,,,,,,A
6416548803111,3,8,Henry Lee Lucas sarjamurhaaja,Henry: Portrait of a Serial Killer,1986,John McNaughton,Michael Rooker,DVD,1,Suomi,Futurefilm,suomi; ruotsi; jne,,Leikkaamaton / Special Edition,,,,,,A
